Text ID,Text,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Platform,Platform Count,Ad,Ad Count,Ad Group,Ad Group Count,Campaign,Campaign Count,Result Type,Result Type Count,Objective,Objective Count
0,"""For one day, let's show the world what Mustangs can do. Save the date for SMU Giving Day on March 22.""",197.39,17069,193,11018.0,0.0,79.0,225,60.0,Twitter,1,"Ad 1-1 - SMU Giving Day Wave 1, Ad 2-1 - SMU Giving Day Wave 1",2,SMU Page Followers,1,SMU Giving Day Wave 1,1,Link clicks,1,Website traffic,1
1,"""I've always been the guy with the camera."" His creative collaborations have set a tone on the Hilltop and across Dallas.",280.82,41422,143,0.0,34438.0,0.0,14,143.0,"facebook, instagram, unknown",3,Chase | Here We Go Mustangs | May 2021,1,Chase | Here We Go Mustangs | May 2021,1,Chase | Here We Go Mustangs | May 2021,1,"Link clicks, Missing Value",2,Missing Value,1
2,"""Increased research capability means we can think about research with impact, providing more solutions to pressing problems in the world.""- Provost Dr. Elizabeth G. Loboa. Learn more about SMU's path toward landing one of the top research designations in the country.",359.63,77945,269,0.0,0.0,0.0,273,77945.0,Twitter,1,Road to R1 Explained,1,"Dallas Geographic Area, Higher Ed Influencers, SMU Page Followers",3,SMU Ignite Kickoff and Pillar Promo,1,Impressions,1,Reach,1
3,"""Inequities in infrastructure deserts are exacerbated by shocks, like a pandemic or severe weather.""",396.07,57477,645,0.0,0.0,0.0,2470,251.0,Twitter,1,Ad 8 February 2022 | Carousel,1,Higher Ed Influencers | February 2022,1,Content_Traffic_February_2022,1,Link clicks,1,Website traffic,1
4,"""The mentorship and support I’ve received from SMU are unparalleled."" - Isabelle Galko '22 Find out how SMU can help you achieve your scholastic goals like Isabelle.",205.35,91725,225,0.0,84390.0,0.0,100,213.0,"Twitter, facebook, instagram, unknown",4,"Ad 6, Ad 6;...and 7 more ads",2,"Ad 6;...and 7 more ads, Dallas Geographic Area",2,"Ad 6;...and 7 more ads, Here We Go, Mustangs! Editorial - 2022",2,"Link clicks, Missing Value",2,"Missing Value, Website traffic",2
5,"""This partnership will also create invaluable opportunities for our SMU students...because it will put them in positions of visibility for recruitment in careers that support Department of Defense initiatives.""",49.74,7035,205,0.0,6494.0,0.0,38,205.0,"facebook, instagram, unknown",3,Air Force Academy Partnership | Higher Ed Stories | July Higher Ed | July 2021,1,Air Force Academy Partnership | Higher Ed Stories | July Higher Ed | July 2021,1,Air Force Academy Partnership | Higher Ed Stories | July Higher Ed | July 2021,1,"Link clicks, Missing Value",2,Missing Value,1
6,"""This partnership will also create invaluable opportunities for our SMU students...putting them in positions of visibility for careers that support Department of Defense initiatives""",0.58,31,1,0.0,0.0,0.0,1,1.0,Twitter,1,SMU and Air Force Academy forge agreement,1,Air Force Academy Partnership,1,Higher Ed Influencers | July 2021,1,Link clicks,1,Website traffic,1
7,"""We've taken another step in entering a new era of bold research. Supported by a $100 million gift from the Moody Foundation, SMU breaks ground on the new Frances Anne Moody Hall, which will house the Moody School of Graduate and Advanced Studies.""",238.96,14933,187,0.0,0.0,0.0,188,65.0,Twitter,1,Ad 5,1,"Dallas Geographic Area | December 2021, Higher Ed Influencers | December 2021",2,Content_Traffic_December_2021,1,Link clicks,1,Website traffic,1
8,"""What can we do in one day? Shape the future. Save the date for SMU Giving Day on March 22.""",302.63,30495,324,8679.0,0.0,234.0,352,80.0,Twitter,1,"Ad 1-2 - SMU Giving Day Wave 1, Ad 2-2 - SMU Giving Day Wave 1",2,SMU Page Followers,1,SMU Giving Day Wave 1,1,Link clicks,1,Website traffic,1
9,"""You are going to hear 'no' a lot on your journey, but you must persist to “find your yes.' "" Meet Hannah Clark '23, a mechanical engineering student, on completing her second internship with NASA.",135.75,16932,614,0.0,0.0,0.0,618,380.0,Twitter,1,Ad 1,1,Higher Ed Influencers | January 2022,1,Content_Traffic_January_2022,1,Link clicks,1,Website traffic,1
