Text,Spend,Impressions,Clicks
Empowering the future of SMU's Dedman College,40.93,6374,2
"Through their recent gift, Elisabeth Martin Armstrong ’82 and William D. Armstrong ’82 are supporting ongoing teaching and research initiatives within the SMU Dedman College of Humanities and Sciences.",3.06,1230,0
"Dallas offers absolutely anything and everything. In both work and fun, the vibrant essence of the city is woven into student life, culture and academics. Here are some reasons we love calling it our home.",0.34,147,0
"“In Dallas, I couldn’t live without the food scene! Every week we try some new restaurant in some new neighborhood. There is truly everything here, and it’s a great place to explore.”— Blake Gebhardt ’24",0.32,140,1
Dallas area sports and the city’s vibrant shopping scene energize SMU students with big games and an endless number of options. Learn why SMU and Dallas are the place to be.,0.29,130,0
"Dallas is home to the largest contiguous urban arts district in the U.S. Join SMU students, Jo ’23 and Adam ‘22, as they take a tour of Dallas’ downtown art district.",0.27,120,0
“SMU is an amazing University full of caring and knowledgeable professors and top-tier students all alongside you and pushing you to do your best.” — Faith Daniels ’23,0.27,119,0
World-changing begins when you get involved. Learn more about the variety of service opportunities for SMU students on and off campus.,0.26,113,0
"More than 60 years ago, Dallas became the birthplace of the integrated circuit, which would become the microchip. Today, we’re home to startup warriors, cyber defenders, biotech wizards, and other innovators who think big and do good.",0.26,111,0
"A $15 million commitment from entrepreneurs Bill Armstrong ’82 and Liz Martin Armstrong ’82 will aid in SMU’s expansion and improvement project, the Garry Weber End Zone Complex, at Gerald J. Ford Stadium.",5.0,2980,9
SMU Distinguished Alumni Awards,2.3,75,0
"Come celebrate outstanding leaders in philanthropy, business and civic life at the 2022 SMU Distinguished Alumni Awards. Get your tickets now.",0.17,43,8
Inspiring Spaces for Aspiring Artists,16.97,3045,0
"Empowered by new improvements, Meadows School at SMU will further bridge the classic, the contemporary and the emerging frontiers of artistic expression, attracting a gifted community of artists, scholars and visitors from across the region and around the world.",5.0,2838,5
"Meadows School’s transformation of its visual arts facilities will foster creativity and encourage innovative teaching, creation, exhibition and interdisciplinary collaboration across the Hilltop.",5.0,2416,4
Future of the Arts at SMU,9.24,1575,3
Shaping Champions,21.73,25496,35
"A research team at SMU recently created a sensor that captures critical measurements to help improve our odds of landing on Mars and other planets successfully.

Learn more about the ground-breaking research being conducted at SMU.",46.46,10051,14
"Tiny, but precise: NASA-sponsored team creates compact device to help spaceships land safely on planets",57.18,5267,7
Explore what SMU has to offer for a successful school year.,58.0,18281,23
Want to build a community and make friends? Or discover new interests and skills? Explore more than 200 student organizations that SMU has to offer.,23.0,7766,11
"Whether you’re celebrating your first Family Weekend or taking in the Celebration of Lights at Dallas Hall, you will find no joy quite like the one that comes from being a Mustang.",23.0,7618,20
The Ultimate DIY Challenge,31.79,14605,16
"SMU’s newest “baby supercomputer” will help students discover ways to make machines, apps, and more even smarter and more accurate.",25.0,7239,14
"As SMU’s powerful new supercomputer research system launched on campus, students assembled their own “baby supercomputer.”",25.0,6427,12
Thinking Inside the Box,14.08,3155,1
Dallas Mayor Eric Johnson says it's time to Pony Up,36.25,8739,17
It's time to Pony Up!,48.85,6897,10
"“Make no mistake: SMU has the academic chops and high standards that would make any conference proud.”

Dallas Mayor Eric Johnson shares reasons why SMU is primed to ascend to a major athletics conference.",2.77,612,7
"“A message for any major conference looking for a world-class institution and a major media market: It’s time to Pony Up.”

Dallas Mayor Eric Johnson shares reasons why SMU and Dallas are the place to be.",1.1,169,1
Sweet Tea for a Sweet Purpose,16.62,2104,9
SMU Alum Connects Tech with Beauty,13.76,1770,2
Tapping into SMU’s Innovative Ecosystem,11.19,1514,6
"ShearShare is a million-dollar app matching independent beauty industry professionals with empty chairs in existing salons.

Learn more how SMU alum Courtney Caldwell ’00 created this ground-breaking idea with the help of her husband and her education from SMU.",13.34,2816,1130
"Raleigh Dewan ’23 took two things he was passionate about and put them together: Fighting human trafficking and brewing tea.

Read his story and others like his to learn more about how resources at SMU help propel businesses forward.",9.24,2335,864
"Tapping business plan tips, a network of mentors, and serious seed funding are just some of the resources SMU students have at their fingertips.",0.06,183,2
Mustang Stories from the Hilltop,11.28,661,6
"Introducing the SMU class of 2022!

Hear from recent graduates as they reflect on their time spent at SMU and share what they have planned next.",3.98,286,7
"“The research funding and mentorship at SMU are incredible.

Opportunities like these are common across campus, but they aren't something I hear my peers at other schools experiencing.” - Nia Kamau '22",5.93,17,3
"Mustang Stories from the Hilltop, Visit Website To Learn More.",0.34,2,0
"Mustang Stories from the Hilltop, Visit Website To Know More.",0.04,1,0
"“My advice for any high school students considering SMU is to not count yourself out before you even apply. 

There is a strong community here waiting to shower you with support, care and love."" 

- Abena Marfo '22",18.12,26,3
"As a fifth-grader, Haley Taylor Schlitz '22 struggled to be acknowledged by her public school's gifted and talented program. 

Now, at the age of 19, she just became SMU’s youngest law school graduate ever.",7.61,1478,13
"At age 85, Marillyn Seeberger '22 has graduated from SMU and is ready start her new career as a screenwriter. 

“I always wanted to write,"" she said. ""I knew I had stories to tell with a little bit of fact and a little bit of fiction.”",28.84,119,1
"""The mentorship and support I’ve received from SMU are unparalleled."" - Isabelle Galko '22

Find out how SMU can help you achieve your scholastic goals like Isabelle.",5.52,472,3
"“Creating positive, lasting change that actually impacts the lives of people who have been adversely affected by inequality and injustice is my passion.” - Austin Hickle '22

Find out how SMU helped Austin get to where he is today.",0.78,34,1
SMU's Supercomputer Detects the Unseen,97.92,18304,10
"SMU researchers were awarded nearly
$1 million over the past four years to study landslides on the West Coast using satellite radar imagery.",49.71,8898,23
Celebrating Bold Mustangs Who Serve our Country,53.28,4403,2
"Military alumni scholarships through SMU support students like Connor Simpson '18, '23, who can pursue his MBA online while also on active duty.

Learn more about how SMU can help you reach your educational goals.",0.38,341,2
SMU is committed to opening financial pathways for student success on the Hilltop.,18.31,2588,27
Launching Access SMU,20.99,448,3
This program will break financial barriers to college entry and graduation – first for academically talented Texas students.,2.6,313,3
"Launching Access SMU, Visit Website To Know More.",9.72,218,0
"Seun Suberu ’23 has earned more than $85,000 in funding through multiple SMU competitions to fund his business start-up - a phone app called CollegePlus.",32.26,5835,52
Bringing Big Ideas to Life at SMU,70.89,2900,9
"Bringing Big Ideas to Life at SMU, Visit Website To Know More.",35.75,897,3
Stoking the Fires of Change,65.22,11487,14
"SMU researcher Chris Roos and photojournalist Stuart Palley '11 met at an SMU community event in Southern California in 2019, bonding through a shared passion to adopt coexistence strategies as wildfires get worse.",48.34,8875,19
"While SMU alumnus Kelvin Beachum ’10, ’12 honed his football talent and academic acumen on the Hilltop, he never imagined a future filled with art.",88.24,5844,104
Igniting Conversations With Art,83.11,1204,13
"Igniting Conversations With Art, Visit Website To Know More.",0.02,1,0
A new initiative to benefit Dallas and beyond,41.57,5176,8
