Result Type,Objective,Platform,Ad,Ad Group,Campaign,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Text,Text ID
Missing Value,Brand awareness,LinkedIn,Alumni - Awareness_Alumni - - Awareness ,Alumni - Awareness,Distinguished Alumni Awards,250.0,54854,135,0.0,0.0,0.0,135,0.0,SMU Distinguished Alumni Awards,157
Missing Value,Brand awareness,LinkedIn,Arts/Theatre Enthusiasts_Meadows Dedication,Arts/Theatre Enthusiasts,Meadows Dedication ,249.34,43947,17,39744.0,0.0,18716.0,17,0.0,Inspiring Spaces for Aspiring Artists,102
Missing Value,Website visits,LinkedIn,Athletic Collegiate Audience_Athletic Ad,Athletic Collegiate Audience,SMU Athletic Conference,399.99,51422,186,0.0,0.0,0.0,214,0.0,It's time to Pony Up!,112
Missing Value,Brand awareness,LinkedIn,Brand awareness - Ad 1_Fires of Change,Brand awareness - Ad 1,SMU in Southern California,1000.0,177589,166,0.0,0.0,0.0,166,0.0,Stoking the Fires of Change,191
Missing Value,Brand awareness,LinkedIn,"Brand awareness - Jun 1, 2022_SoCal - Mudslide ad","Brand awareness - Jun 1, 2022",SMU in Southern California,1000.0,172887,76,154764.0,0.0,111152.0,76,0.0,SMU's Supercomputer Detects the Unseen,175
Missing Value,Brand awareness,LinkedIn,"Brand awareness - May 19, 2022_Military Alumni Ad","Brand awareness - May 19, 2022",SMU in Southern California,1000.0,107397,112,0.0,0.0,0.0,112,0.0,Celebrating Bold Mustangs Who Serve our Country,53
Missing Value,Brand awareness,LinkedIn,"Brand awareness - Sep 19, 2022_NACAC Research Ad","Brand awareness - Sep 19, 2022",NACAC in Houston Ad | Sept. 2022,296.51,31310,90,0.0,0.0,0.0,90,0.0,"Tiny, but precise: NASA-sponsored team creates compact device to help spaceships land safely on planets",222
Missing Value,Brand awareness,LinkedIn,DFW Geographical Area_Meadows Dedication,DFW Geographical Area,Meadows Dedication ,249.6,37797,23,34102.0,0.0,15148.0,23,0.0,Inspiring Spaces for Aspiring Artists,102
Missing Value,Website visits,LinkedIn,Dallas Geographic Area (photo)_196239226,Dallas Geographic Area (photo),Innovation Editorial | June 2022,333.0,21170,158,0.0,0.0,0.0,195,0.0,Tapping into SMU’s Innovative Ecosystem,199
Missing Value,Website visits,LinkedIn,Dallas Geographic Area (video)_Courtney Ad,Dallas Geographic Area (video),Innovation Editorial | June 2022,320.17,18081,68,13579.0,0.0,2362.0,73,0.0,SMU Alum Connects Tech with Beauty,155
Missing Value,Website visits,LinkedIn,Dallas Geographic Area (video)_Raleigh Ad,Dallas Geographic Area (video),Innovation Editorial | June 2022,346.83,19685,74,14435.0,0.0,4888.0,107,0.0,Sweet Tea for a Sweet Purpose,194
Missing Value,Website visits,LinkedIn,Dallas Geographic Area_Ad 1,Dallas Geographic Area,"Here We Go, Mustangs! Editorial - 2022",35.8,453,3,0.0,0.0,0.0,12,0.0,Mustang Stories from the Hilltop,131
Missing Value,Website visits,LinkedIn,Dallas Geographic Area_Ad 2,Dallas Geographic Area,"Here We Go, Mustangs! Editorial - 2022",90.78,1245,19,0.0,0.0,0.0,100,0.0,Mustang Stories from the Hilltop,131
Missing Value,Website visits,LinkedIn,Dallas Geographic Area_Ad 3,Dallas Geographic Area,CollegePlus Editorial - 2022,792.5699999999999,14728,112,0.0,0.0,0.0,454,0.0,"Bringing Big Ideas to Life at SMU, Visit Website To Know More.",47
Missing Value,Website visits,LinkedIn,Dallas Geographic Area_Ad 3,Dallas Geographic Area,"Here We Go, Mustangs! Editorial - 2022",708.15,4637,124,0.0,0.0,0.0,682,0.0,Mustang Stories from the Hilltop,131
Missing Value,Website visits,LinkedIn,Dallas Geographic Area_Ad 4,Dallas Geographic Area,"Here We Go, Mustangs! Editorial - 2022",42.74,506,2,0.0,0.0,0.0,6,0.0,Mustang Stories from the Hilltop,131
Missing Value,Website visits,LinkedIn,Dallas Geographic Area_Ad 4,Dallas Geographic Area,Kelvin Beachum Gallery Editorial | May 2022,565.16,8079,71,0.0,0.0,0.0,216,0.0,Igniting Conversations With Art,95
