Tweet Text,Campaign name,Ad name,Cost Per Result,Spend,Cost Per Result Type,Cost per 1k impressions,Cost per engagement,Tweet publish date,Placement,Campaign ID,Ad Group ID,Tweet status,Tweet ID,Campaign ID.1
"Come celebrate outstanding leaders in philanthropy, business and civic life at the 2022 SMU Distinguished Alumni Awards. Get your tickets now.",Distinguished Alumni Awards,Ticket Sales,0.04,155.48,Cost per link click,6.07,0.04,02-Sep-2022 10:30,All,i30957243,i39034241,Running,1565723813865615365,30957243
"Whether you’re celebrating your first Family Weekend or taking in the Celebration of Lights at Dallas Hall, you will find no joy quite like the one that comes from being a Mustang.","Editorial - Welcome Back, Mustangs!(Copy)",Pony Up!,2.73,391.0,Cost per 1k impressions,2.73,1.25,29-Aug-2022 14:57,All,i30945732,i39019473,Expired,1564341418885124096,30945732
Want to build a community and make friends? Or discover new interests and skills? Explore more than 200 student organizations that SMU has to offer.,"Editorial - Welcome Back, Mustangs!(Copy)",Hit the (Student) Clubs!,2.74,390.82,Cost per 1k impressions,2.74,0.37,29-Aug-2022 14:57,All,i30945732,i39019472,Expired,1564341419723988993,30945732
Explore what SMU has to offer for a successful school year.,"Editorial - Welcome Back, Mustangs!(Copy)","Welcome Back, Mustangs!",2.85,985.86,Cost per 1k impressions,2.85,1.14,29-Aug-2022 14:57,All,i30945732,i39019471,Expired,1564341418780286976,30945732
"As SMU’s powerful new supercomputer research system launched on campus, students assembled their own “baby supercomputer.”",Supercomputer Editorial Campaign,Ad 1,3.46,199.96,Cost per 1k impressions,3.46,1.92,08-Aug-2022 09:25,All,i30718708,i38736199,Expired,1556647909231169537,30718708
"SMU’s newest “baby supercomputer” will help students discover ways to make machines, apps, and more even smarter and more accurate.",Supercomputer Editorial Campaign,Baby Supercomputer,3.13,199.64,Cost per 1k impressions,3.13,2.22,08-Aug-2022 09:25,All,i30718708,i38736198,Expired,1556647909231251456,30718708
"“Make no mistake: SMU has the academic chops and high standards that would make any conference proud.”

Dallas Mayor Eric Johnson shares reasons why SMU is primed to ascend to a major athletics conference.",SMU Athletics Conference,HE Athletic Ad,2.97,350.0,Cost per link click,6.23,0.66,15-Jul-2022 17:00,All,i30529762,i38497802,Expired,1548064869697703936,30529762
"“A message for any major conference looking for a world-class institution and a major media market: It’s time to Pony Up.”

Dallas Mayor Eric Johnson shares reasons why SMU and Dallas are the place to be.",SMU Athletics Conference,AC Athletic Ad,0.0,1.1,Cost per link click,6.53,1.1,15-Jul-2022 17:00,All,i30529762,i38497803,Halted,1548064867189370886,30529762
"Tapping business plan tips, a network of mentors, and serious seed funding are just some of the resources SMU students have at their fingertips.",Innovation Editorial | June 2022,Innovation General Ad,0.06,4.96,Cost per link click,0.49,0.04,16-Jun-2022 11:42,All,i30229839,i38108792,Expired,1537475699145166849,30229839
"ShearShare is a million-dollar app matching independent beauty industry professionals with empty chairs in existing salons.

Learn more how SMU alum Courtney Caldwell ’00 created this ground-breaking idea with the help of her husband and her education from SMU.",Innovation Editorial | June 2022,Courtney Ad,0.01,313.36,Cost per link click,4.12,0.01,16-Jun-2022 11:44,All,i30229839,i38108792,Expired,1537476303653326849,30229839
"Raleigh Dewan ’23 took two things he was passionate about and put them together: Fighting human trafficking and brewing tea.

Read his story and others like his to learn more about how resources at SMU help propel businesses forward.",Innovation Editorial | June 2022,Raleigh Ad,0.01,181.67,Cost per link click,3.18,0.01,16-Jun-2022 11:51,All,i30229839,i38108792,Expired,1537478004544241664,30229839
"SMU researchers were awarded nearly
$1 million over the past four years to study landslides on the West Coast using satellite radar imagery.",SoCal Awareness Campaign 1,SoCal - Detecting the Unseen,6.18,547.59,Cost per 1k impressions,6.18,2.36,01-Jun-2022 11:50,All,i29856000,i37904137,Expired,1532041824352620545,29856000
"Military alumni scholarships through SMU support students like Connor Simpson '18, '23, who can pursue his MBA online while also on active duty.

Learn more about how SMU can help you reach your educational goals.",SoCal Awareness Campaign 1,New Military Ad Tweet,3.09,500.0,Cost per 1k impressions,3.09,1.57,20-May-2022 16:00,All,i29856000,i37738171,Expired,1527756112841166848,29856000
"“The research funding and mentorship at SMU are incredible.

Opportunities like these are common across campus, but they aren't something I hear my peers at other schools experiencing.” - Nia Kamau '22","Here We Go, Mustangs! Editorial - 2022",Ad 7,5.21,20.85,Cost per link click,12.29,1.1,19-May-2022 07:48,All,i29925496,i37737600,Expired,1527269873683943426,29925496
"""The mentorship and support I’ve received from SMU are unparalleled."" - Isabelle Galko '22

Find out how SMU can help you achieve your scholastic goals like Isabelle.","Here We Go, Mustangs! Editorial - 2022",Ad 6,10.52,63.12,Cost per link click,9.02,2.18,19-May-2022 07:43,All,i29925496,i37737600,Expired,1527268750021562368,29925496
"“My advice for any high school students considering SMU is to not count yourself out before you even apply. 

There is a strong community here waiting to shower you with support, care and love."" 

- Abena Marfo '22","Here We Go, Mustangs! Editorial - 2022",Ad 5,6.87,34.36,Cost per link click,22.0,1.91,19-May-2022 07:40,All,i29925496,i37737600,Expired,1527268050973630467,29925496
"“Creating positive, lasting change that actually impacts the lives of people who have been adversely affected by inequality and injustice is my passion.” - Austin Hickle '22

Find out how SMU helped Austin get to where he is today.","Here We Go, Mustangs! Editorial - 2022",Ad 4,0.78,0.78,Cost per link click,0.28,0.11,19-May-2022 07:39,All,i29925496,i37737600,Expired,1527267609896439809,29925496
"At age 85, Marillyn Seeberger '22 has graduated from SMU and is ready start her new career as a screenwriter. 

“I always wanted to write,"" she said. ""I knew I had stories to tell with a little bit of fact and a little bit of fiction.”","Here We Go, Mustangs! Editorial - 2022",Ad 3,12.15,97.2,Cost per link click,50.76,5.4,19-May-2022 07:06,All,i29925496,i37737600,Expired,1527259498557087754,29925496
"As a fifth-grader, Haley Taylor Schlitz '22 struggled to be acknowledged by her public school's gifted and talented program. 

Now, at the age of 19, she just became SMU’s youngest law school graduate ever.","Here We Go, Mustangs! Editorial - 2022",Ad 2,2.77,274.06,Cost per link click,15.87,0.63,19-May-2022 07:04,All,i29925496,i37737600,Expired,1527259005051101184,29925496
